"recno","y1_1","y1_2","y1_3","y1_3drm","y1_4","y1_5"
358,1,1,120000,120000,1,3
359,1,3,35000,35000,1,3
359,2,1,180000,180000,1,3
360,1,1,30000,30000,1,3
360,1,19,200,95146,3,3
361,2,2,100000,100000,1,3
361,2,19,100,47573,3,3
362,1,3,62000,62000,1,3
362,1,19,150,71359.5,3,3
362,2,3,41000,41000,1,3
363,1,1,120000,120000,1,3
363,2,1,60000,60000,1,3
364,1,2,150000,150000,1,3
364,3,1,100000,100000,1,3
365,1,1,120000,120000,1,3
365,2,2,30000,30000,1,3
366,1,3,45000,45000,1,3
366,2,3,39000,39000,1,3
366,3,2,80000,80000,1,3
367,1,1,120000,120000,1,3
367,2,1,60000,60000,1,3
367,3,1,65000,65000,1,3
367,4,1,125000,125000,1,3
368,1,1,55000,55000,1,3
368,1,18,20000,20000,1,3
369,1,1,120000,120000,1,3
370,1,3,36000,36000,1,3
370,1,13,100000,25000,1,6
370,2,3,36000,36000,1,3
371,1,3,30000,30000,1,3
371,1,19,180,28543.8,3,7
372,3,1,60000,60000,1,3
372,3,3,48000,48000,1,3
372,3,5,36000,36000,1,3
373,1,1,45000,45000,1,3
373,1,13,100000,100000,1,3
373,2,13,100000,100000,1,3
373,3,1,100000,100000,1,3
373,3,3,36000,36000,1,3
374,1,3,41000,41000,1,3
374,2,1,50000,50000,1,3
375,1,13,55000,18333.3333333333,1,7
375,2,1,60000,60000,1,3
375,3,1,180000,180000,1,3
376,1,1,120000,120000,1,3
376,1,3,41000,41000,1,3
376,2,13,140000,46666.6666666667,1,7
376,3,1,100000,100000,1,3
377,1,3,48000,48000,1,3
377,2,2,250000,250000,1,3
377,2,3,43000,43000,1,3
378,1,3,40000,40000,1,3
378,1,13,30000,30000,1,3
379,1,1,120000,120000,1,3
379,1,3,45000,45000,1,3
380,1,26,4800,35568,2,3
380,2,3,32000,32000,1,3
381,1,1,120000,120000,1,3
381,3,1,80000,80000,1,3
381,4,1,90000,90000,1,3
382,1,3,24000,24000,1,3
382,2,2,100000,100000,1,3
383,1,3,37000,37000,1,3
383,2,3,44000,44000,1,3
383,3,1,30000,30000,1,3
383,3,5,27000,27000,1,3
383,5,25,30000,30000,1,3
384,1,19,200,95146,3,3
384,3,1,150000,150000,1,3
385,1,19,200,95146,3,3
386,1,19,400,190292,3,3
386,4,5,28000,28000,1,3
387,3,2,50000,50000,1,3
387,6,2,95000,95000,1,3
388,1,19,8000,59280,2,3
389,1,21,25000,8333.33333333333,1,7
389,2,3,37000,37000,1,3
389,2,22,70000,23333.3333333333,1,7
390,2,19,10000,24700,2,7
391,1,5,28000,28000,1,3
391,2,21,40000,13333.3333333333,1,7
