"recno","f2_row","f2_1","f2_2","f2_3","f2_4","f2_5","f2_6","f2_7","f2_8","f2_9","f2_10","f2_11","f2_12","f2_13","f2_14"
1658,2,2,,,,,,,,,,,,,
1658,3,1,,,,,,,,,,,,,
1658,4,2,,,2,620000,,,,,,2,,,
1658,9,13,,,8,250000,2,,,40,100000,1,2,8,
1658,11,10,,,,,4,,,6,10000,,,,
1658,12,10,,,,,4,,,6,10000,,,,
1659,1,5,,,1,320000,1,140,280000,30,60000,3,,,
1659,2,2,,,,,,,,,,,,,
1659,4,3,,,1,320000,1,140,280000,30,60000,3,,,
1659,9,8,,,4,120000,2,20,50000,20,50000,2,8,,
1659,11,10,,,,,6,,,10,16000,,,,
1659,12,10,,,,,6,,,10,16000,,,,
1660,1,5,,,2,630000,,,,,,2,,,
1660,2,3,,,,,,,,,,,,,
1660,4,2,,,2,630000,,,,,,2,,,
1660,9,6,,,4,120000,3,35,85000,25,60000,2,8,,
1660,11,18,,,,,8,,,13,20000,,,,
1660,12,18,,,,,8,,,13,20000,,,,
1660,19,5,,,,,,,,,,,,,
1661,1,7,,,1,300000,,,,,,2,,,
1661,2,3,,,,,,,,,,,,,
1661,4,4,,,1,300000,,,,,,2,,,
1661,9,11,,,5,150000,4,30,70000,50,130000,2,8,,
1661,11,25,,,,,5,,,8,12000,,,,
1661,12,25,,,,,5,,,8,12000,,,,
1662,1,9,,,2,650000,1,70,140000,60,120000,2,,,
1662,2,5,,,,,,,,,,,,,
1662,4,4,,,2,650000,1,70,140000,60,120000,2,,,
1662,9,25,,,8,250000,4,20,50000,50,120000,2,7,8,
1662,11,20,,,,,5,,,8,12000,,,,
1662,12,20,,,,,5,,,8,12000,,,,
1662,19,100,,,,,,,,,,,,,
1663,1,4,,,2,670000,,,,,,2,,,
1663,2,2,,,,,,,,,,,,,
1663,4,2,,,2,670000,,,,,,2,,,
1663,9,5,,,3,100000,2,15,37000,25,60000,8,,,
1663,11,12,,,,,7,,,11,16000,,,,
1663,12,12,,,,,7,,,11,16000,,,,
1665,1,11,,,3,860000,,,,,,2,,,
1665,2,5,,,,,,,,,,,,,
1665,4,6,,,3,860000,,,,,,2,,,
1665,9,25,,,12,350000,5,40,100000,60,150000,1,2,8,
1665,11,20,,,,,4,,,7,10000,,,,
1665,12,20,,,,,4,,,7,10000,,,,
